Temperature,Log File,Sigma (Physical),Sigma Error (Physical),Sigma (Periodic),Sigma Error (Periodic)
1000,benchmark_1000K_seed1.log,0.009465203077886059,1.7917467442705777e-18,2.5724350004867553e-05,0.00045484384697437786
1000,benchmark_1000K_seed10.log,4.460823391744063e-08,3.358139892896689e-07,1.5762767480462335e-08,2.9254709888595974e-06
1000,benchmark_1000K_seed2.log,2.4518575567754477e-07,7.304947483678864e-07,4.928813437384301e-08,7.88963400357215e-07
1000,benchmark_1000K_seed3.log,5.835005543774256e-06,6.75407215753516e-07,1.0211818029742288e-07,1.4163695852117424e-06
1000,benchmark_1000K_seed4.log,6.682456242108214e-08,3.1618106398092795e-07,9.116059185033347e-07,3.9887528603557415e-06
1000,benchmark_1000K_seed5.log,0.00416651137295788,3.424410719388992e-07,2.2271345018182103e-07,1.926270730086526e-06
1000,benchmark_1000K_seed6.log,4.020558731408659e-06,2.183887071323821e-06,4.290093086355355e-08,1.7724662263193976e-06
1000,benchmark_1000K_seed7.log,2.9148530647217548e-08,1.877451322471897e-07,1.3451189546983397e-08,1.4415517542350735e-06
1000,benchmark_1000K_seed8.log,0.0014816438146382754,5.031184630247233e-07,1.2310914140304793e-05,0.00021360614971668637
1000,benchmark_1000K_seed9.log,2.5126008703896137e-08,2.3394728500770906e-07,4.177761333462888e-07,7.909557200426483e-06
1500,benchmark_1500K_seed1.log,1.7868709742041607e-06,4.41004485075271e-06,1.4353882325823728e-05,0.00011987645483858565
1500,benchmark_1500K_seed10.log,1.8469112121894443e-05,0.00021671819576602012,1.0767126578999785e-06,2.493368504369282e-06
1500,benchmark_1500K_seed2.log,2.5043441412896097e-05,2.7474811280808803e-06,6.741286201341263e-05,0.00030160003514866497
1500,benchmark_1500K_seed3.log,1.1130834865058376e-05,0.00011306681098338527,0.0001736855957208968,0.0005546980411396212
1500,benchmark_1500K_seed4.log,1.489519739664386e-06,4.2770380863420465e-06,1.3973190020615135e-06,2.9573218388105413e-06
1500,benchmark_1500K_seed5.log,0.005871284950050904,1.5823269550941057e-06,1.5273521399643842e-06,4.2380639432565615e-06
1500,benchmark_1500K_seed6.log,8.984605915726254e-06,2.1786010008850168e-05,2.84140225542759e-05,0.00022954380467478356
1500,benchmark_1500K_seed7.log,1.6534623514249973e-06,3.592246385671975e-06,1.5799663890492773e-06,4.826374059829589e-06
1500,benchmark_1500K_seed8.log,2.7951913341800516e-05,0.00028662333848324605,1.9274752141145445e-06,6.260173631838611e-06
1500,benchmark_1500K_seed9.log,1.3808014458445755e-06,3.79220082015604e-06,1.0407933988163706e-06,1.8847136996814918e-06
2000,benchmark_2000K_seed1.log,0.0020849278279543894,0.0034842267596884905,0.002822317357193649,0.003459195800203311
2000,benchmark_2000K_seed10.log,0.0024739796877230776,0.004415715191583283,0.002334032793050959,0.003135962984359639
2000,benchmark_2000K_seed2.log,0.0006066887601494283,0.0010315245224864484,0.0024865521555831206,0.002242954820080194
2000,benchmark_2000K_seed3.log,0.0010159480439337182,0.0019868467196923673,0.0029524524232647995,0.002335425783372448
2000,benchmark_2000K_seed4.log,0.0010505606603381792,0.0013272198023239535,0.002943877806057927,0.0024443266474283264
2000,benchmark_2000K_seed5.log,0.002126619032306117,0.00392582788410986,0.0028604535375108577,0.002898076000328371
2000,benchmark_2000K_seed6.log,0.0021149945798670166,0.0031586018768533074,0.0015215802454250288,0.0018278942720777018
2000,benchmark_2000K_seed7.log,0.0008361647059749269,0.0016668924768087933,0.0024594704637062982,0.003118665523513984
2000,benchmark_2000K_seed8.log,0.000468402674159646,0.000950946207138327,0.002876246491416152,0.003305814415795626
2000,benchmark_2000K_seed9.log,1.741123181965522e-05,1.7121644344106158e-05,0.0019877820869953974,0.002473373312843918
500,benchmark_500K_seed1.log,5.057060946927526e-10,2.434378245567074e-08,7.098280022309328e-08,5.757812279031005e-07
500,benchmark_500K_seed10.log,1.602026913555967e-09,4.2300216524613003e-08,1.2228094375729781e-07,6.650090475143054e-07
500,benchmark_500K_seed2.log,4.1162606505422665e-10,2.5186498316127762e-08,5.173080942832429e-08,3.3193469035971473e-06
500,benchmark_500K_seed3.log,1.4029922582655868e-09,3.65136193238174e-08,2.697069470212435e-09,2.9636619511844044e-06
500,benchmark_500K_seed4.log,5.941379631843499e-10,2.59311723799565e-08,4.849816080039489e-09,2.9626204153517942e-06
500,benchmark_500K_seed5.log,4.0980568312291715e-10,2.195597027797583e-08,5.366976069500787e-08,4.9448791772539956e-06
500,benchmark_500K_seed6.log,5.717174141043716e-10,2.480194410802085e-08,7.309660040193345e-08,7.207236266904831e-07
500,benchmark_500K_seed7.log,4.3599950780139677e-10,2.0567084394579987e-08,1.2754741343021427e-07,8.53405701158627e-06
500,benchmark_500K_seed8.log,9.330752391863814e-10,2.9373216537713327e-08,2.762215686715684e-07,9.703437534263973e-07
500,benchmark_500K_seed9.log,4.787875195188982e-10,2.2373969534768394e-08,3.105523165593503e-09,3.4750726834288203e-06
800,benchmark_800K_seed1.log,4.833827776431474e-08,2.913492649399991e-07,1.6869137558601448e-09,1.8501188247665262e-06
800,benchmark_800K_seed10.log,8.404847184442397e-08,4.691497702538257e-07,1.8856687556080132e-07,1.4111633187952573e-06
800,benchmark_800K_seed2.log,5.724788926598794e-08,3.5363857430811003e-07,2.4733701682449464e-07,4.28999174119565e-06
800,benchmark_800K_seed3.log,1.9687418479823765e-07,8.039999829300621e-07,0.0018550418933614892,0.0013691362982258886
800,benchmark_800K_seed4.log,2.73990412557168e-08,2.092254856088631e-07,1.4243324694094168e-09,1.8503428668948068e-06
800,benchmark_800K_seed5.log,3.984652536359381e-08,2.9910602502810637e-07,1.4987933222201948e-06,1.7199757999540285e-06
800,benchmark_800K_seed6.log,6.450527814044364e-08,3.569930965525301e-07,4.1990002645337304e-07,3.4361262028206178e-06
800,benchmark_800K_seed7.log,1.3423613560530862e-07,3.802013910161221e-07,1.6957088238044892e-05,8.089169391306608e-05
800,benchmark_800K_seed8.log,4.526510193773241e-08,2.914515227283543e-07,1.599586227996814e-09,1.8503414068319028e-06
800,benchmark_800K_seed9.log,1.0271285502468206e-07,4.078840199449857e-07,1.4535779988943547e-09,1.8503438830939389e-06
